chunking,embedding,query_id,recall@k,mrr,ndcg@k
sentence,openai-small,0,1.0,1.0,1.0
sentence,openai-small,1,1.0,1.0,1.0
sentence,openai-small,2,1.0,1.0,1.0
sentence,openai-small,3,1.0,1.0,1.0
sentence,openai-small,4,0.3333333333333333,0.5,0.2960819109658652
sentence,openai-small,5,1.0,1.0,1.0
sentence,openai-small,6,0.14285714285714285,0.2,0.13120507751234178
sentence,openai-small,7,1.0,1.0,1.0
sentence,openai-small,8,1.0,1.0,1.0
sentence,openai-small,9,0.5,1.0,0.6131471927654584
sentence,openai-small,10,1.0,1.0,1.0
sentence,openai-small,11,1.0,1.0,1.0
sentence,openai-small,12,1.0,1.0,1.0
sentence,openai-small,13,1.0,1.0,1.0
sentence,openai-small,14,1.0,1.0,0.8772153153380493
sentence,openai-small,15,0.2222222222222222,1.0,0.4703652827859579
sentence,openai-small,16,1.0,1.0,1.0
sentence,openai-small,17,0.5,1.0,0.6131471927654584
sentence,openai-small,18,1.0,1.0,1.0
sentence,openai-small,19,1.0,1.0,1.0
sentence,openai-small,20,0.4,0.5,0.36005461457723403
sentence,openai-small,21,1.0,1.0,1.0
sentence,openai-small,22,1.0,1.0,1.0
sentence,openai-small,23,1.0,1.0,0.9197207891481876
sentence,openai-small,24,0.5,1.0,0.6131471927654584
sentence,openai-small,25,1.0,1.0,1.0
sentence,openai-small,26,1.0,1.0,1.0
sentence,openai-small,27,1.0,0.5,0.6309297535714575
sentence,openai-small,28,1.0,1.0,0.9060254355346823
sentence,openai-small,29,1.0,1.0,1.0
sentence,openai-small,30,0.6666666666666666,0.5,0.5307212739772434
sentence,openai-small,31,1.0,1.0,1.0
sentence,openai-small,32,1.0,1.0,1.0
sentence,openai-small,33,1.0,1.0,1.0
sentence,openai-small,34,0.3333333333333333,1.0,0.46927872602275644
sentence,openai-small,35,1.0,1.0,1.0
sentence,openai-small,36,1.0,1.0,1.0
sentence,openai-small,37,1.0,1.0,1.0
sentence,openai-small,38,1.0,1.0,1.0
sentence,openai-small,39,1.0,1.0,1.0
sentence,openai-small,40,0.6,1.0,0.7227265726449519
sentence,openai-small,41,1.0,1.0,1.0
sentence,openai-small,42,1.0,1.0,1.0
sentence,openai-small,43,1.0,1.0,1.0
sentence,openai-small,44,1.0,1.0,0.9197207891481876
sentence,openai-small,45,1.0,1.0,1.0
sentence,openai-small,46,0.4,0.3333333333333333,0.3156484524795145
sentence,openai-small,47,1.0,1.0,1.0
sentence,openai-small,48,0.5,1.0,0.6131471927654584
sentence,openai-small,49,1.0,1.0,1.0
sentence,openai-small,50,1.0,1.0,1.0
sentence,openai-small,51,0.5,0.25,0.2640681225725909
sentence,openai-small,52,1.0,1.0,1.0
sentence,openai-small,53,1.0,1.0,1.0
sentence,openai-small,54,1.0,1.0,1.0
sentence,openai-small,55,0.16666666666666666,1.0,0.3391602052736161
sentence,openai-small,56,1.0,1.0,1.0
sentence,openai-small,57,0.5,1.0,0.6131471927654584
sentence,openai-small,58,1.0,1.0,1.0
sentence,openai-small,59,0.5714285714285714,1.0,0.8687949224876582
sentence,openai-small,60,0.3333333333333333,1.0,0.46927872602275644
sentence,openai-small,61,1.0,1.0,1.0
sentence,openai-small,62,0.5,1.0,0.6131471927654584
sentence,openai-small,63,1.0,1.0,1.0
sentence,openai-small,64,0.8,1.0,0.8687949224876582
sentence,openai-small,65,1.0,1.0,1.0
sentence,openai-small,66,1.0,0.5,0.6309297535714575
sentence,openai-small,67,1.0,1.0,1.0
sentence,openai-small,68,1.0,1.0,1.0
sentence,openai-small,69,1.0,1.0,1.0
sentence,openai-small,70,1.0,1.0,1.0
sentence,openai-small,71,1.0,1.0,1.0
sentence,openai-small,72,1.0,1.0,1.0
sentence,openai-small,73,1.0,1.0,1.0
sentence,openai-small,74,1.0,1.0,1.0
sentence,openai-small,75,0.5714285714285714,1.0,0.8687949224876582
sentence,openai-small,76,1.0,1.0,0.8772153153380493
sentence,openai-small,77,1.0,1.0,1.0
sentence,openai-small,78,1.0,1.0,0.9197207891481876
sentence,openai-small,79,0.5,1.0,0.6131471927654584
sentence,openai-small,80,1.0,1.0,1.0
sentence,openai-small,81,0.6666666666666666,1.0,0.7653606369886217
sentence,openai-small,82,1.0,1.0,1.0
sentence,openai-small,83,1.0,1.0,1.0
sentence,openai-small,84,1.0,1.0,1.0
sentence,openai-small,85,0.5,1.0,0.6131471927654584
sentence,openai-small,86,0.5,0.5,0.38685280723454163
sentence,openai-small,87,1.0,1.0,1.0
sentence,openai-small,88,1.0,1.0,0.8772153153380493
sentence,openai-small,89,1.0,0.5,0.6309297535714575
sentence,openai-small,90,1.0,1.0,1.0
sentence,openai-small,91,1.0,1.0,1.0
sentence,openai-small,92,1.0,1.0,1.0
sentence,openai-small,93,1.0,1.0,1.0
sentence,openai-small,94,1.0,1.0,1.0
sentence,openai-small,95,1.0,1.0,1.0
sentence,openai-small,96,1.0,1.0,1.0
sentence,openai-small,97,1.0,1.0,1.0
sentence,openai-small,98,1.0,1.0,1.0
sentence,openai-small,99,1.0,1.0,1.0
sentence,openai-small,100,1.0,1.0,1.0
sentence,openai-small,101,1.0,1.0,1.0
sentence,openai-small,102,1.0,1.0,1.0
sentence,openai-small,103,1.0,1.0,1.0
sentence,openai-small,104,1.0,1.0,1.0
sentence,openai-small,105,1.0,1.0,1.0
sentence,openai-small,106,1.0,1.0,1.0
sentence,openai-small,107,0.25,1.0,0.48522855511632257
